keyword,intents,position,serp_features,traffic,traffic_pct,volume,kd_pct,url
porsche tower miami florida,I,1,6,396,1.59,1600,26,miamiresidential.com/porschetower
one paraiso,I|T,2,7,250,1.0,1900,18,miamiresidential.com/oneparaiso
midblock miami,I|T,1,5,248,0.99,1000,9,miamiresidential.com/midblock/
porsche building miami fl,I|T,1,7,218,0.87,880,25,miamiresidential.com/porschetower
porsche design miami,I|T,1,6,218,0.87,880,28,miamiresidential.com/porschetower
porsche design tower miami,C,1,9,211,0.84,1600,17,miamiresidential.com/porschetower
midblock,I|T,1,7,208,0.83,260,16,miamiresidential.com/midblock/
porsche design tower,T,1,8,196,0.78,2400,31,miamiresidential.com/porschetower
miami canvas,I,5,3,193,0.77,4400,28,miamiresidential.com/canvas
canvas miami,I,3,6,188,0.75,2900,22,miamiresidential.com/canvas
brickell on the river,I|T,4,5,156,0.62,2400,13,miamiresidential.com/brickellontheriversouth
porsche design building miami,I|T,1,6,146,0.58,590,20,miamiresidential.com/porschetower
terrazas river park village miami,I,1,5,146,0.58,590,13,miamiresidential.com/terrazasmiami/
10 museum park,I|T,2,6,132,0.53,1000,17,miamiresidential.com/tenmuseumpark
porsche design building,C,1,8,132,0.53,1000,30,miamiresidential.com/porschetower
porsche tower miami,C,2,8,131,0.52,1600,31,miamiresidential.com/porschetower
1000 venetian way,I,3,3,131,0.52,1600,4,miamiresidential.com/1000venetianway/
miami porsche design,T,1,8,123,0.49,1900,36,miamiresidential.com/porschetower
apartamentos en venta en miami,C,1,4,119,0.47,480,20,miamiresidential.com/es/
apartamento en venta,C,1,2,119,0.47,480,14,miamiresidential.com/es/
portofino towers,I|T,1,7,119,0.47,480,15,miamiresidential.com/portofinotower/
loft miami,C,,4,119,0.47,480,29,miamiresidential.com/loftdowntowni/
neo lofts,I|T,1,7,119,0.47,480,16,miamiresidential.com/neolofts/
aventura park square,I,2,5,116,0.46,880,7,miamiresidential.com/aventura-park-square/
okan tower miami,I|T,2,5,116,0.46,880,14,miamiresidential.com/okantower/
porsche building miami,C,1,8,116,0.46,880,24,miamiresidential.com/porschetower
pearl house,N,,6,114,0.45,4400,34,miamiresidential.com/pearlhouse/
la baia south residences,I|T,1,4,112,0.45,140,9,miamiresidential.com/labaiasouth/
reach brickell,I,7,7,108,0.43,3600,21,miamiresidential.com/ReachBCC
1000 museum miami,I|T,3,7,106,0.42,1300,33,miamiresidential.com/1000museum
72 park,I,4,8,104,0.41,1600,21,miamiresidential.com/72park
puerta de palmas,I|T,1,7,96,0.38,390,13,miamiresidential.com/puertadepalmas/
the loft downtown,C,,5,96,0.38,390,17,miamiresidential.com/loftdowntowni/
prive island,I|T,1,6,96,0.38,390,11,miamiresidential.com/priveisland/
sands of key biscayne,I,1,6,96,0.38,390,5,miamiresidential.com/sandsofkeybiscayne/
aventura parksquare,I,2,6,95,0.38,720,8,miamiresidential.com/aventura-park-square/
miami residential group,N,1,6,88,0.35,110,65,miamiresidential.com/
umiami canvas,I,6,5,87,0.34,2900,30,miamiresidential.com/canvas
quantum miami,I|T,4,6,84,0.33,1300,18,miamiresidential.com/quantum
one thousand museum miami,I|T,5,8,83,0.33,1900,32,miamiresidential.com/1000museum
aston martin building miami,I,4,6,83,0.33,1900,29,miamiresidential.com/astonmartin
bay harbor club condos,C,,6,79,0.31,320,9,miamiresidential.com/theclubcondo/
opera tower miami,C,8,5,79,0.31,3600,18,miamiresidential.com/operatower
neo lofts miami,I|T,1,6,79,0.31,320,8,miamiresidential.com/neolofts/
l atelier miami beach,I,1,7,79,0.31,320,14,miamiresidential.com/latelier/
the grand miami,I,2,6,77,0.3,590,14,miamiresidential.com/thegrand/
new construction miami,C,2,4,77,0.3,590,35,miamiresidential.com/new-developments/
centro downtown condominium association,I|T,2,3,77,0.3,590,15,miamiresidential.com/centro
the loft miami fl,I,1,4,72,0.28,90,23,miamiresidential.com/loftdowntowni/
faena house,I|T,3,8,72,0.28,880,20,miamiresidential.com/faena-house
the lexi bayview residences,I|T,1,2,72,0.28,90,10,miamiresidential.com/lexi/
one paraiso miami,I|T,3,4,72,0.28,880,11,miamiresidential.com/oneparaiso
loft 1,I,1,5,72,0.28,90,12,miamiresidential.com/loftdowntowni/
the loft 1,I,1,6,72,0.28,90,12,miamiresidential.com/loftdowntowni/
the ivy miami,C|I,4,4,70,0.28,1600,7,miamiresidential.com/theivy
mint miami fl,C,4,4,65,0.26,1000,8,miamiresidential.com/mint
bentley residences miami,I,3,6,65,0.26,1000,27,miamiresidential.com/bentleyresidences/
ten museum park,I|T,4,5,65,0.26,1000,17,miamiresidential.com/tenmuseumpark
1000 museum park miami,I|T,4,6,65,0.26,1000,33,miamiresidential.com/1000museum
1428 brickell,I,4,9,65,0.26,1000,13,miamiresidential.com/theresidencesat1428brickell/
majestic tower,C,,4,64,0.25,260,17,miamiresidential.com/majestictower/
5350 park at downtown doral,I,1,6,64,0.25,260,13,miamiresidential.com/5350-park/
centro miami fl,I|T,1,6,64,0.25,260,12,miamiresidential.com/centro
natiivo miami,I|T,1,6,64,0.25,260,7,miamiresidential.com/natiivomiami/
1000 venetian,I|T,1,5,64,0.25,260,8,miamiresidential.com/1000venetianway/
villa miami residences,I|T,2,8,63,0.25,480,14,miamiresidential.com/villamiamiresidences
360 condominium in north bay village fl,I|T,2,6,63,0.25,480,5,miamiresidential.com/360condowest/
mystic pointe tower 500,I|T,2,5,63,0.25,480,7,miamiresidential.com/mysticpointe500/
the ivy miami fl,C,2,5,63,0.25,480,9,miamiresidential.com/theivy
apartamentos venta,C,2,3,63,0.25,480,9,miamiresidential.com/es/
baltus house,I|T,3,4,59,0.23,720,9,miamiresidential.com/baltushouse/
the madison downtown condominium,I|T,3,6,59,0.23,720,11,miamiresidential.com/themadison
met 1,I|T,3,6,59,0.23,720,25,miamiresidential.com/met-1
nirvana condo,I|T,3,4,59,0.23,720,9,miamiresidential.com/nirvanacondos/
landmark doral,C,2,5,59,0.23,720,11,miamiresidential.com/miami-condo/doral-miami/landmark-at-doral/
faena house in miami beach,I|T,5,6,57,0.22,1300,25,miamiresidential.com/faena-house
echo aventura,I,4,4,57,0.22,880,17,miamiresidential.com/echoaventura/
1000 museum miami fl,I|T,4,8,57,0.22,880,32,miamiresidential.com/1000museum
fendi chateau,I|T,5,6,57,0.22,1300,17,miamiresidential.com/fendichateau
brickell heights,I,6,6,56,0.22,1600,18,miamiresidential.com/brickellheightseast/
the ivy miami,C|I,,4,55,0.22,1600,7,miamiresidential.com/theivy
aventura square park,I,1,6,52,0.2,210,6,miamiresidential.com/aventura-park-square/
porsche apartment miami,I|T,1,7,52,0.2,210,22,miamiresidential.com/porschetower
porsche towers,C,1,8,52,0.2,210,13,miamiresidential.com/porschetower
prive island florida,I|T,1,7,52,0.2,210,7,miamiresidential.com/priveisland/
miami new construction,C,1,7,52,0.2,210,33,miamiresidential.com/new-developments/
landmark at doral,I,1,5,52,0.2,210,5,miamiresidential.com/miami-condo/doral-miami/landmark-at-doral/
departamentos en miami,C,1,6,52,0.2,210,24,miamiresidential.com/es/
porsche residences miami,C|I,1,5,52,0.2,210,15,miamiresidential.com/porschetower
the majestic tower,C,,3,52,0.2,210,13,miamiresidential.com/majestictower/
eloquence on the bay,I|T,1,6,52,0.2,210,5,miamiresidential.com/eloquenceonthebay/
flow house miami,I|T,2,7,51,0.2,390,15,miamiresidential.com/flowhouse/
grandview palace condominiums,I,2,7,51,0.2,390,6,miamiresidential.com/grandviewpalace/
the bath club miami florida,I,2,6,51,0.2,390,19,miamiresidential.com/thebathclub
centro miami,I|T,2,5,51,0.2,390,8,miamiresidential.com/centro
aston martin residences miami,N,3,5,50,0.2,3600,40,miamiresidential.com/astonmartin
one thousand museum,I|T,7,6,48,0.19,1600,38,miamiresidential.com/1000museum
aria on the bay,C,6,5,48,0.19,1600,12,miamiresidential.com/ariaonthebay
downtown loft,C,1,5,48,0.19,590,19,miamiresidential.com/loftdowntowni/
oasis hallandale,I|T,3,5,48,0.19,590,8,miamiresidential.com/oasishallandale/
balmoral condominium,C,2,5,48,0.19,590,9,miamiresidential.com/balmoral/
baltus house miami,I|T,3,5,48,0.19,590,9,miamiresidential.com/baltushouse/
porsche tower,C,2,11,48,0.19,590,25,miamiresidential.com/porschetower
flow house,C,3,5,48,0.19,590,21,miamiresidential.com/flowhouse/
grandview palace,C,3,4,46,0.18,720,20,miamiresidential.com/grandviewpalace/
the crosby miami world center,I|T,6,7,45,0.18,1300,16,miamiresidential.com/thecrosby
infinity building miami,C,6,5,45,0.18,1300,18,miamiresidential.com/infinitybrickell
rise brickell city centre,I|T,6,5,45,0.18,1300,10,miamiresidential.com/risebrickellcitycentre
reach brickell city centre,I,8,6,45,0.18,1900,16,miamiresidential.com/ReachBCC
mercedes benz places miami,C,5,5,44,0.17,1000,28,miamiresidential.com/es/mercedesbenzbrickell/
capobella condominium,I|T,1,4,42,0.16,170,7,miamiresidential.com/capobella
my brickell,I|T,1,7,42,0.16,170,6,miamiresidential.com/mybrickell/
