source: SEMrush > Organic Research > Pages (Top Pages) for newhomesource.com, 2026-07-13. Columns normalized from paste.
url	traffic	traffic_pct	keywords	llm_prompts	ref_domains	top_keyword	intent
www.newhomesource.com/	55500	13.55	2200	176	4200	new home source	C
www.newhomesource.com/communities/ca/san-diego-area	6500	1.59	506	10	9	new homes san diego	C
www.newhomesource.com/learn/step-by-step-guide-to-home-building-process/	6400	1.55	1500	422	249	steps to make a house	I
www.newhomesource.com/communities/tx/dallas-area	5700	1.40	690	4	49	new housing developments near me	C
www.newhomesource.com/communities/ga/atlanta-area	3500	0.86	665	6	39	new homes in atlanta	C
www.newhomesource.com/communities/nv/las-vegas-area	3100	0.75	558	14	121	new construction homes las vegas	C
www.newhomesource.com/communities/az/phoenix-mesa-area	2900	0.70	395	2	113	phoenix new homes	C
www.newhomesource.com/learn/gable-roofs/	2900	0.69	410	93	26	gable roof	I
www.newhomesource.com/communities/nc/raleigh-durham-chapel-hill-area	2800	0.68	384	3	7	new homes raleigh nc	C
www.newhomesource.com/communities/ca/los-angeles-area	2200	0.53	613	6	5	new homes los angeles	C
www.newhomesource.com/communities/tx/houston-area	2200	0.53	617	9	12	new home communities	C
www.newhomesource.com/learn/closet-systems/	2000	0.49	15	6	0	closet systems	C
www.newhomesource.com/communities/fl/sarasota-bradenton-area	1700	0.40	344	0	4	new home construction sarasota fl	C
www.newhomesource.com/learn/best-suburbs-atlanta/	1700	0.40	336	77	2	atlanta suburbs	I
www.newhomesource.com/communities/ca/sacramento-area/elk-grove	1700	0.40	135	7	3	new homes elk grove	C
www.newhomesource.com/builder/lennar/about/644	1600	0.39	330	7	11	lennar homes	N
www.newhomesource.com/communities/sc/greenville-spartanburg-area/greenville	1400	0.35	294	4	4	new homes in greenville sc	C
www.newhomesource.com/learn/phoenix-arizona-suburbs/	1400	0.34	206	47	3	suburbs of phoenix az	I
www.newhomesource.com/communities/fl/orlando-area	1300	0.32	623	10	11	new houses in orlando	C
www.newhomesource.com/communities/tx/austin-area	1200	0.29	703	7	42	new construction homes austin	C
www.newhomesource.com/learn/best-modular-home-builders-in-texas/	1200	0.29	409	16	16	modular home builders	C
www.newhomesource.com/communities/nc/raleigh-durham-chapel-hill-area/durham	1200	0.29	246	1	4	new homes in durham nc	C
www.newhomesource.com/communities/ca/orange-county-area	1200	0.29	201	7	11	new homes in orange county	C
www.newhomesource.com/communities/nc/charlotte-area	1200	0.28	274	3	8	new homes charlotte nc	C
www.newhomesource.com/communities/sc/charleston-area	1100	0.27	151	2	9	new home construction charleston sc	C
www.newhomesource.com/communities/fl/tampa-st.-petersburg-area	1000	0.24	278	3	105	new homes tampa fl	C
